日期,基金代码,动量值
2020-11-30,sh512690,98.35691465084440
2020-12-01,sz159915,100.26974951830400
2020-12-01,sz159992,97.4712643678161
2020-12-01,sh512690,98.90510948905110
2020-12-02,sz159915,99.46298427311090
2020-12-02,sz159992,96.06656580937970
2020-12-02,sh512690,96.0124058484714
2020-12-03,sz159915,100.0
2020-12-03,sz159992,98.86018237082070
2020-12-03,sh512690,102.04556020455600
2020-12-04,sz159915,100.64885496183200
2020-12-04,sz159992,99.24698795180720
2020-12-04,sh512690,101.70022371364700
2020-12-07,sz159915,102.17729393468100
2020-12-07,sz159992,100.61919504644000
2020-12-07,sh512690,103.2682705401730
2020-12-08,sz159915,104.41988950276200
2020-12-08,sz159992,102.68350434096300
2020-12-08,sh512690,107.61070110701100
2020-12-09,sz159915,101.6431924882630
2020-12-09,sz159992,100.23510971786800
2020-12-09,sh512690,105.89310187300100
2020-12-10,sz159915,101.97981366459600
2020-12-10,sz159992,100.93823299452700
2020-12-10,sh512690,104.05345211581300
2020-12-11,sz159915,100.30852294639400
2020-12-11,sz159992,100.07836990595600
2020-12-11,sh512690,103.56200527704500
2020-12-14,sz159915,102.28505034856700
2020-12-14,sz159992,102.06349206349200
2020-12-14,sh512690,106.31856077226900
2020-12-15,sz159915,105.49841772151900
2020-12-15,sz159992,107.31707317073200
2020-12-15,sh512690,109.96799268404200
2020-12-16,sz159915,105.74940523394100
2020-12-16,sz159992,108.5924713584290
2020-12-16,sh512690,111.35746606334800
2020-12-17,sz159915,106.39810426540300
2020-12-17,sz159992,111.48208469055400
2020-12-17,sh512690,113.81340579710100
2020-12-18,sz159915,105.78512396694200
2020-12-18,sz159992,111.09311740890700
2020-12-18,sh512690,116.6125290023200
2020-12-21,sz159915,106.76402767102200
2020-12-21,sz159992,109.19811320754700
2020-12-21,sh512690,116.5590405904060
2020-12-22,sz159915,104.8206710374080
2020-12-22,sz159992,108.503937007874
2020-12-22,sh512690,118.96631287494200
2020-12-23,sz159915,104.8109965635740
2020-12-23,sz159992,105.76479631053000
2020-12-23,sh512690,116.62870159453300
2020-12-24,sz159915,103.37504740235100
2020-12-24,sz159992,103.64188163884700
2020-12-24,sh512690,109.54685437747500
2020-12-25,sz159915,104.6042617960430
2020-12-25,sz159992,107.38461538461500
2020-12-25,sh512690,109.4065934065930
2020-12-28,sz159915,103.74149659863900
2020-12-28,sz159992,105.84166026133700
2020-12-28,sh512690,111.78739819974300
2020-12-29,sz159915,104.58044649730600
2020-12-29,sz159992,106.25488663018000
2020-12-29,sh512690,111.21656600517700
2020-12-30,sz159915,106.54739246288500
2020-12-30,sz159992,106.73896204492600
2020-12-30,sh512690,112.75684931506800
2020-12-31,sz159915,110.18838908112300
2020-12-31,sz159992,109.16209866875500
2020-12-31,sh512690,114.18259023354600
2021-01-04,sz159915,112.68458917076900
2021-01-04,sz159992,108.3203732503890
2021-01-04,sh512690,115.55922410235200
2021-01-05,sz159915,112.03599550056200
2021-01-05,sz159992,106.81818181818200
2021-01-05,sh512690,121.24740124740100
2021-01-06,sz159915,112.59842519685000
2021-01-06,sz159992,108.06330067822200
2021-01-06,sh512690,118.77285656237300
2021-01-07,sz159915,113.43726800297000
2021-01-07,sz159992,104.30971512052600
2021-01-07,sh512690,117.54874651810600
2021-01-08,sz159915,112.94642857142900
2021-01-08,sz159992,104.3002915451900
2021-01-08,sh512690,114.4448865897330
2021-01-11,sz159915,107.5953923686110
2021-01-11,sz159992,101.00791936645100
2021-01-11,sh512690,109.73486347447600
2021-01-12,sz159915,113.17144959529100
2021-01-12,sz159992,103.33817126270000
2021-01-12,sh512690,110.78355314197100
2021-01-13,sz159915,110.20036429872500
2021-01-13,sz159992,101.38081395348800
2021-01-13,sh512690,110.15625
2021-01-14,sz159915,109.57446808510600
2021-01-14,sz159992,100.43923865300100
2021-01-14,sh512690,109.47791164658600
2021-01-15,sz159915,108.76682429974500
2021-01-15,sz159992,98.49570200573070
2021-01-15,sh512690,106.4684612294090
2021-01-18,sz159915,110.9653916211290
2021-01-18,sz159992,100.65359477124200
2021-01-18,sh512690,100.76687116564400
2021-01-19,sz159915,109.53257269046700
2021-01-19,sz159992,100.22075055187600
2021-01-19,sh512690,99.76726144297910
2021-01-20,sz159915,110.61093247588400
2021-01-20,sz159992,102.68505079825800
2021-01-20,sh512690,98.63325740318910
2021-01-21,sz159915,110.81646894626700
2021-01-21,sz159992,103.37159253945500
2021-01-21,sh512690,99.25622908144290
2021-01-22,sz159915,108.90456989247300
2021-01-22,sz159992,108.11198851399900
2021-01-22,sh512690,94.71428571428570
2021-01-25,sz159915,108.50066934404300
2021-01-25,sz159992,107.87234042553200
2021-01-25,sh512690,96.98216735253770
2021-01-26,sz159915,104.96170496170500
2021-01-26,sz159992,102.85913528591400
2021-01-26,sh512690,94.04721176873080
2021-01-27,sz159915,103.59947643979100
2021-01-27,sz159992,102.45098039215700
2021-01-27,sh512690,90.3182125930941
2021-01-28,sz159915,100.69169960474300
2021-01-28,sz159992,99.58071278826000
2021-01-28,sh512690,91.30737134909600
2021-01-29,sz159915,101.33824021411800
2021-01-29,sz159992,100.92658588738400
2021-01-29,sh512690,96.57410746483950
2021-02-01,sz159915,99.34980494148250
2021-02-01,sz159992,102.17696629213500
2021-02-01,sh512690,93.41736694677870
2021-02-02,sz159915,103.07438016528900
2021-02-02,sz159992,105.51971326164900
2021-02-02,sh512690,98.54609929078020
2021-02-03,sz159915,103.98393036491500
2021-02-03,sz159992,108.8192419825070
2021-02-03,sh512690,102.27439471753500
2021-02-04,sz159915,103.61204013377900
2021-02-04,sz159992,107.05454545454500
2021-02-04,sh512690,105.88679245283000
2021-02-05,sz159915,101.24753775443200
2021-02-05,sz159992,108.36940836940800
2021-02-05,sh512690,107.80060882800600
2021-02-05,sz159915,101.24753775443200
2021-02-05,sz159992,111.8208516886930
2021-02-05,sh512690,110.41990668740300
2021-02-09,sz159915,108.26612903225800
2021-02-09,sz159992,109.39929328621900
2021-02-09,sh512690,111.9707467282530
2021-02-10,sz159915,106.36304909560700
2021-02-10,sz159992,110.54823039555900
2021-02-10,sh512690,114.12514050206100
2021-02-18,sz159915,100.81863979848900
2021-02-18,sz159992,101.19521912350600
2021-02-18,sh512690,110.82202111613900
2021-02-19,sz159915,97.80931811169390
2021-02-19,sz159992,99.40828402366860
2021-02-19,sh512690,103.21782178217800
2021-02-22,sz159915,93.52251696483650
2021-02-22,sz159992,98.16949152542370
2021-02-22,sh512690,98.14477991997090
2021-02-23,sz159915,95.46319796954310
2021-02-23,sz159992,99.65823650034180
2021-02-23,sh512690,101.16191904048000
2021-02-24,sz159915,91.72457359444090
2021-02-24,sz159992,98.59649122807020
2021-02-24,sh512690,97.18202589489720
2021-02-25,sz159915,94.14458619561660
2021-02-25,sz159992,98.7994350282486
2021-02-25,sh512690,93.42793129200900
2021-02-26,sz159915,92.90194783757020
2021-02-26,sz159992,95.46391752577320
2021-02-26,sh512690,91.191904047976
2021-03-01,sz159915,94.69895287958120
2021-03-01,sz159992,96.33152173913040
2021-03-01,sh512690,87.83735156531130
2021-03-02,sz159915,91.69339320076970
2021-03-02,sz159992,92.63228399196250
2021-03-02,sh512690,85.29411764705880
2021-03-03,sz159915,93.36767546683840
2021-03-03,sz159992,95.5163043478261
2021-03-03,sh512690,86.60014255167500
2021-03-04,sz159915,88.79922530664950
2021-03-04,sz159992,90.27962716378160
2021-03-04,sh512690,81.53900458877510
2021-03-05,sz159915,89.88326848249030
2021-03-05,sz159992,88.96913985554830
2021-03-05,sh512690,82.46478873239440
2021-03-08,sz159915,81.71942892613290
2021-03-08,sz159992,82.88113695090440
2021-03-08,sh512690,74.73358542454450
2021-03-09,sz159915,77.34588521105380
2021-03-09,sz159992,78.21720025109860
2021-03-09,sh512690,69.36966513460280
2021-03-10,sz159915,80.76202373516550
2021-03-10,sz159992,83.26771653543310
2021-03-10,sh512690,73.93671316774410
2021-03-11,sz159915,83.59621451104100
2021-03-11,sz159992,86.3095238095238
2021-03-11,sh512690,77.42377526550190
2021-03-12,sz159915,87.66490765171500
2021-03-12,sz159992,90.12430939226520
2021-03-12,sh512690,84.0993328391401
2021-03-15,sz159915,84.91193087404450
2021-03-15,sz159992,86.14540466392320
2021-03-15,sh512690,79.91848832901080
2021-03-16,sz159915,88.80853994490360
2021-03-16,sz159992,90.46263345195730
2021-03-16,sh512690,86.91222570532920
2021-03-17,sz159915,90.58373870743570
2021-03-17,sz159992,91.493924231594
2021-03-17,sh512690,89.88808952837730
2021-03-18,sz159915,94.17199715707180
2021-03-18,sz159992,94.96040316774660
2021-03-18,sh512690,95.27332511302920
2021-03-19,sz159915,89.11541119557710
2021-03-19,sz159992,91.32581100141040
2021-03-19,sh512690,92.74887341253580
2021-03-22,sz159915,91.18572927597060
2021-03-22,sz159992,94.72161966738970
2021-03-22,sh512690,95.58452481076530
2021-03-23,sz159915,88.93103448275860
2021-03-23,sz159992,92.95874822190610
2021-03-23,sh512690,93.99176954732510
2021-03-24,sz159915,92.43911304980010
2021-03-24,sz159992,95.57522123893800
2021-03-24,sh512690,99.04761904761900
2021-03-25,sz159915,92.60461760461760
2021-03-25,sz159992,96.45756457564580
2021-03-25,sh512690,97.01110162254480
2021-03-26,sz159915,100.64565134827200
2021-03-26,sz159992,105.37802026500400
2021-03-26,sh512690,108.27966881324700
2021-03-29,sz159915,103.53356890459400
2021-03-29,sz159992,108.34670947030500
2021-03-29,sh512690,114.00851869380000
2021-03-30,sz159915,103.36426914153100
2021-03-30,sz159992,108.27423167848700
2021-03-30,sh512690,110.95260009203900
2021-03-31,sz159915,100.56603773584900
2021-03-31,sz159992,104.36781609195400
2021-03-31,sh512690,105.04424778761100
2021-04-01,sz159915,102.25733634311500
2021-04-01,sz159992,105.97701149425300
2021-04-01,sh512690,107.27192595857200
2021-04-02,sz159915,107.86692759295500
2021-04-02,sz159992,110.27070063694300
2021-04-02,sh512690,117.94158553546600
2021-04-06,sz159915,105.85498255137600
2021-04-06,sz159992,108.18253343823800
2021-04-06,sh512690,113.21009918845800
