datetime,open,rate
2018-03-16,1.1122,-0.009
2018-03-19,1.112,-0.018
2018-03-20,1.1119,-0.009
2018-03-21,1.1118,-0.009
2018-03-22,1.1117,-0.009
2018-03-23,1.1116,-0.009
2018-03-26,1.1113,-0.027
2018-03-27,1.1112,-0.009
2018-03-28,1.1111,-0.009
2018-03-29,1.111,-0.009
2018-03-30,1.1109,-0.009
2018-04-02,1.1106,-0.027
2018-04-03,1.1105,-0.009
2018-04-04,1.1105,0.0
2018-04-09,1.11,-0.045
2018-04-10,1.1099,-0.009
2018-04-11,1.1098,-0.009
2018-04-12,1.1097,-0.009
2018-04-13,1.1096,-0.009
2018-04-16,1.1093,-0.027
2018-04-17,1.1092,-0.009
2018-04-18,1.1091,-0.009
2018-04-19,1.109,-0.009
2018-04-20,1.1089,-0.009
2018-04-23,1.1086,-0.0271
2018-04-24,1.1086,0.0
2018-04-25,1.1085,-0.009
2018-04-26,1.1084,-0.009
2018-04-27,1.1083,-0.009
2018-05-02,1.1078,-0.0451
2018-05-03,1.1077,-0.009
2018-05-04,1.1076,-0.009
2018-05-07,1.1073,-0.0271
2018-05-08,1.1072,-0.009
2018-05-09,1.1071,-0.009
2018-05-10,1.107,-0.009
2018-05-11,1.1069,-0.009
2018-05-14,1.1066,-0.0271
2018-05-15,1.1065,-0.009
2018-05-16,1.1064,-0.009
2018-05-17,1.1064,0.0
2018-05-18,1.1063,-0.009
2018-05-21,1.106,-0.0271
2018-05-22,1.1059,-0.009
2018-05-23,1.1058,-0.009
2018-05-24,1.1057,-0.009
2018-05-25,1.1056,-0.009
2018-05-28,1.1053,-0.0271
2018-05-29,1.1052,-0.009
2018-05-30,1.1052,0.0
2018-05-31,1.1077,0.2262
2018-06-01,1.1043,-0.3069
2018-06-04,1.105,0.0634
2018-06-05,1.1073,0.2081
2018-06-06,1.1074,0.009
2018-06-07,1.1048,-0.2348
2018-06-08,1.1043,-0.0453
2018-06-11,1.1027,-0.1449
2018-06-12,1.1097,0.6348
2018-06-13,1.1092,-0.0451
2018-06-14,1.1087,-0.0451
2018-06-15,1.1078,-0.0812
2018-06-19,1.0986,-0.8305
2018-06-20,1.1033,0.4278
2018-06-21,1.1044,0.0997
2018-06-22,1.1111,0.6067
2018-06-25,1.1044,-0.603
2018-06-26,1.1102,0.5252
2018-06-27,1.1087,-0.1351
2018-06-28,1.1132,0.4059
2018-06-29,1.1375,2.1829
2018-06-30,1.1374,0
2018-07-02,1.1249,-1.1077
2018-07-03,1.1438,1.6801
2018-07-04,1.119,-2.1682
2018-07-05,1.0952,-2.1269
2018-07-06,1.0964,0.1096
2018-07-09,1.1218,2.3167
2018-07-10,1.13,0.731
2018-07-11,1.1047,-2.2389
2018-07-12,1.1353,2.77
2018-07-13,1.1284,-0.6078
2018-07-16,1.1301,0.1507
2018-07-17,1.1267,-0.3009
2018-07-18,1.1214,-0.4704
2018-07-19,1.1198,-0.1427
2018-07-20,1.1309,0.9912
2018-07-23,1.1456,1.2998
2018-07-24,1.1578,1.0649
2018-07-25,1.1551,-0.2332
2018-07-26,1.139,-1.3938
2018-07-27,1.1342,-0.4214
2018-07-30,1.1083,-2.2835
2018-07-31,1.1078,-0.0451
2018-08-01,1.0951,-1.1464
2018-08-02,1.0721,-2.1003
2018-08-03,1.0565,-1.4551
2018-08-06,1.0231,-3.1614
2018-08-07,1.0538,3.0007
2018-08-08,1.0379,-1.5088
2018-08-09,1.0645,2.5629
2018-08-10,1.0743,0.9206
2018-08-13,1.0857,1.0612
2018-08-14,1.0814,-0.3961
2018-08-15,1.0609,-1.8957
2018-08-16,1.039,-2.0643
2018-08-17,1.0241,-1.4341
2018-08-20,1.0291,0.4882
2018-08-21,1.0366,0.7288
2018-08-22,1.0324,-0.4052
2018-08-23,1.044,1.1236
2018-08-24,1.0417,-0.2203
2018-08-27,1.0611,1.8623
2018-08-28,1.0633,0.2073
2018-08-29,1.0608,-0.2351
2018-08-30,1.0441,-1.5743
2018-08-31,1.0376,-0.6225
2018-09-03,1.0215,-1.5517
2018-09-04,1.0338,1.2041
2018-09-05,1.0213,-1.2091
2018-09-06,1.0144,-0.6756
2018-09-07,1.0148,0.0394
2018-09-10,0.9956,-1.892
2018-09-11,0.992,-0.3616
2018-09-12,0.9868,-0.5242
2018-09-13,0.9919,0.5168
2018-09-14,0.9838,-0.8166
2018-09-17,0.9803,-0.3558
2018-09-18,0.9867,0.6529
2018-09-19,0.9988,1.2263
2018-09-20,0.9969,-0.1902
2018-09-21,1.0127,1.5849
2018-09-25,1.0062,-0.6418
2018-09-26,1.0243,1.7988
2018-09-27,1.0128,-1.1227
2018-09-28,1.0207,0.78
2018-10-08,0.9758,-4.3989
2018-10-09,0.9706,-0.5329
2018-10-10,0.9654,-0.5358
2018-10-11,0.9191,-4.7959
2018-10-12,0.9322,1.4253
2018-10-15,0.9178,-1.5447
2018-10-16,0.907,-1.1767
2018-10-17,0.9005,-0.7166
2018-10-18,0.8838,-1.8545
2018-10-19,0.9099,2.9532
2018-10-22,0.9495,4.3521
2018-10-23,0.9342,-1.6114
2018-10-24,0.9314,-0.2997
2018-10-25,0.9336,0.2362
2018-10-26,0.9278,-0.6213
2018-10-29,0.9082,-2.1125
2018-10-30,0.9072,-0.1101
2018-10-31,0.9204,1.455
2018-11-01,0.9255,0.5541
2018-11-02,0.9578,3.49
2018-11-05,0.952,-0.6056
2018-11-06,0.9472,-0.5042
2018-11-07,0.9471,-0.0106
2018-11-08,0.9435,-0.3801
2018-11-09,0.9358,-0.8161
2018-11-12,0.9529,1.8273
2018-11-13,0.964,1.1649
2018-11-14,0.9619,-0.2178
2018-11-15,0.9713,0.9772
2018-11-16,0.9776,0.6486
2018-11-19,0.9787,0.1125
2018-11-20,0.9596,-1.9516
2018-11-21,0.9653,0.594
2018-11-22,0.9655,0.0207
2018-11-23,0.9424,-2.3925
2018-11-26,0.9383,-0.4351
2018-11-27,0.9416,0.3517
2018-11-28,0.9518,1.0833
2018-11-29,0.9353,-1.7336
2018-11-30,0.9409,0.5987
