datetime,open
2015-08-21,2.044
2015-08-24,1.899
2015-08-25,1.773
2015-08-26,1.718
2015-08-27,1.777
2015-08-28,1.87
2015-08-31,1.814
2015-09-01,1.719
2015-09-02,1.706
2015-09-07,1.715
2015-09-08,1.776
2015-09-09,1.821
2015-09-10,1.802
2015-09-11,1.812
2015-09-14,1.693
2015-09-15,1.584
2015-09-16,1.683
2015-09-17,1.658
2015-09-18,1.677
2015-09-21,1.734
2015-09-22,1.747
2015-09-23,1.724
2015-09-24,1.748
2015-09-25,1.692
2015-09-28,1.72
2015-09-29,1.694
2015-09-30,1.702
2015-10-08,1.77
2015-10-09,1.799
2015-10-12,1.87
2015-10-13,1.89
2015-10-14,1.868
2015-10-15,1.925
2015-10-16,1.954
2015-10-19,1.954
2015-10-20,1.989
2015-10-21,1.871
2015-10-22,1.944
2015-10-23,1.991
2015-10-26,2.006
2015-10-27,2.021
2015-10-28,1.977
2015-10-29,1.99
2015-10-30,1.987
2015-11-02,1.954
2015-11-03,1.952
2015-11-04,2.047
2015-11-05,2.051
2015-11-06,2.1
2015-11-09,2.127
2015-11-10,2.137
2015-11-11,2.163
2015-11-12,2.164
2015-11-13,2.128
2015-11-16,2.168
2015-11-17,2.153
2015-11-18,2.124
2015-11-19,2.178
2015-11-20,2.205
2015-11-23,2.191
2015-11-24,2.209
2015-11-25,2.245
2015-11-26,2.231
2015-11-27,2.099
2015-11-30,2.111
2015-12-01,2.119
2015-12-02,2.11
2015-12-03,2.155
2015-12-04,2.135
2015-12-07,2.159
2015-12-08,2.11
2015-12-09,2.104
2015-12-10,2.096
2015-12-11,2.079
2015-12-14,2.115
2015-12-15,2.131
2015-12-16,2.137
2015-12-17,2.19
2015-12-18,2.188
2015-12-21,2.214
2015-12-22,2.231
2015-12-23,2.207
2015-12-24,2.205
2015-12-25,2.218
2015-12-28,2.168
2015-12-29,2.19
2015-12-30,2.209
2015-12-31,2.176
2016-01-04,2.001
2016-01-05,1.983
2016-01-06,2.031
